Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500011,0,
0.0100009,0,
0.0150006,1.26464,
0.0200003,16.2202,
0.0250008,16.5478,
0.0300007,16.7608,
0.0350008,18.6941,
0.0400007,43.1227,
0.0450005,110.69,
0.0500004,143.524,
0.0550009,150.209,
0.0600002,293.601,
0.065,1243.61,
0.0700001,1435.5,
0.0750004,1502.61,
0.0800003,1634.73,
0.0850002,1768.95,
0.090001,1848.64,
0.0950005,1862.27,
0.1,1869.61,
0.105,1943.01,
0.11,2112.88,
0.115001,2342.52,
0.12,2533.36,
0.125001,2587.89,
0.13,2594.18,
0.135001,2602.57,
0.14,2688.55,
0.145001,2835.35,
0.150001,2992.64,
0.155,3076.52,
0.160001,3091.2,
0.165,3093.3,
0.170001,3095.4,
0.175,3120.56,
0.180001,3152.02,
0.185,3172.99,
0.190001,3177.19,
0.195,3179.28,
0.2,3179.28,
0.205001,3179.28,
0.21,3179.28,
0.215001,3181.38,
0.22,3181.38,
0.225001,3181.38,
0.23,3181.38,
0.235001,3181.38,
0.24,3181.38,
0.245001,3183.48,
0.250001,3189.77,
0.255,3196.06,
0.260001,3200.25,
0.265,3200.25,
0.270001,3200.25,
0.275,3200.25,
0.280001,3202.35,
0.285,3208.64,
0.29,3210.74,
0.295001,3212.84,
0.3,3223.32,
